TIPO_INSTRUMENTO;ESFERA;IBGE;UF;REGIAO;MACRORREGIAO;MUNICIPIO;EXERCICIO;FASE;SITUACAO;DATA
"3º RDQA";"MUNICIPAL";"211190";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO NORTE";"2023";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211190";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO NORTE";"2023";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211190";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO NORTE";"2024";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211190";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO NORTE";"2024";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211190";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO NORTE";"2024";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211190";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO NORTE";"2024";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211190";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO NORTE";"2024";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211190";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO NORTE";"2025";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211190";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO NORTE";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211190";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO NORTE";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211190";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO NORTE";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211190";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO NORTE";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2018";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2018";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2018";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2018";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2018";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2019";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2019";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2019";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2019";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2019";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2020";"2018-2021";"Em apreciação pelo Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2021";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2021";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2021";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2021";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2021";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2022";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2022";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2022";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2022";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2023";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2023";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2023";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2023";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2024";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2024";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2024";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2024";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2025";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211195";"MA";"São João dos Patos";"MACRORREGIAO LESTE";"SUCUPIRA DO RIACHAO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2018";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2019";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2022";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2022";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2022";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2023";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2023";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2023";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2024";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2024";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2024";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2025";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2025";"2022-2025";"Retornado para Ajustes";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211200";"MA";"Balsas";"MACRORREGIAO SUL";"TASSO FRAGOSO";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2018";"2018-2021";"Em apreciação pelo Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2018";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2019";"2018-2021";"Em apreciação pelo Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2019";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2019";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2020";"2018-2021";"Em apreciação pelo Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2020";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2020";"2018-2021";"Em Elaboração";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2021";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2021";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2021";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2021";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2022";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2022";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2022";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2023";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2023";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2023";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"211210";"MA";"Codó";"MACRORREGIAO LESTE";"TIMBIRAS";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
